,Country,total_eqs,maxMag_date
6,LEBANON,14,551-7-9
10,KYRGYZSTAN,14,1946-11-2
92,SOUTH AFRICA,14,1942-11-10
35,UZBEKISTAN,14,1976-4-8
75,CUBA,14,2020-1-28
58,HONDURAS,13,1856-8-4
34,UK,13,1580-4-6
33,ARMENIA,13,1988-12-7
23,MACEDONIA,12,1979-5-24
2,TURKMENISTAN,11,1895-7-8
79,MARTINIQUE,10,1906-12-3
28,KAZAKHSTAN,10,1889-7-11
38,YEMEN,10,1982-12-13
45,BOSNIA-HERZEGOVINA,10,1969-10-27
60,MONTENEGRO,9,1979-4-15
53,GERMANY,9,1978-9-3
97,GUADELOUPE,9,1843-2-8
24,TUNISIA,9,1957-2-20
69,ETHIOPIA,9,1906-8-25
125,SAMOA,8,1917-6-26
42,UKRAINE,8,1927-9-11
121,TANZANIA,8,1910-12-13
90,TRINIDAD AND TOBAGO,8,1888-1-10
43,AUSTRIA,7,1590-9-15
130,SOUTH GEORGIA AND THE SOUTH SANDWICH ISLANDS,7,2021-8-12
94,CONGO,7,1992-9-11
116,MONGOLIA,6,1905-7-9
114,BOLIVIA,6,1994-6-9
19,CYPRUS,6,1953-9-10
29,NORTH KOREA,6,1518-7-2
150,POLAND,6,2004-9-21
132,BRAZIL,6,1986-11-30
82,ATLANTIC OCEAN,6,1941-11-25
81,ERITREA,6,1875-11-2
127,VIETNAM,5,1935-11-1
147,BHUTAN,5,2009-9-21
134,ANTARCTICA,5,1998-3-25
146,RWANDA,5,2015-8-7
0,JORDAN,5,-2150-nan-nan
84,HUNGARY,5,1834-10-15
70,GHANA,5,1862-7-10
122,"MICRONESIA, FED. STATES OF",4,1911-8-16
26,THAILAND,4,2014-5-5
139,MALAWI,4,1989-3-10
123,UGANDA,4,1912-7-9
151,MOZAMBIQUE,3,2006-2-22
149,SAUDI ARABIA,3,2009-5-19
46,SLOVAKIA,3,2004-1-10
142,NETHERLANDS,3,1992-4-13
136,MALAYSIA,3,1976-7-26
76,ANTIGUA AND BARBUDA,3,1690-4-16
129,INDIAN OCEAN,3,1928-3-9
128,KENYA,3,1928-1-6
103,SOUTH SUDAN,3,1990-5-20
88,TOGO,2,1788-nan-nan
91,CANARY ISLANDS,2,1800-nan-nan
145,LAOS,2,2007-5-16
87,SAINT LUCIA,2,1788-10-12
120,CAMEROON,2,1945-9-12
86,FRENCH GUIANA,2,1885-8-4
112,SOLOMON SEA,2,1895-3-6
95,UK TERRITORY,2,1983-11-30
131,PACIFIC OCEAN,2,1932-11-2
108,COTE D'IVOIRE,2,1879-2-11
89,SIERRA LEONE,1,1795-5-20
99,BARBADOS,1,1831-8-11
144,SUDAN,1,1993-8-1
49,IRELAND,1,1490-nan-nan
100,SAINT VINCENT AND THE GRENADINES,1,1844-8-30
148,BURUNDI,1,2004-2-24
110,SRI LANKA,1,1882-1-nan
106,BRITISH VIRGIN ISLANDS,1,1871-9-nan
152,CZECH REPUBLIC,1,2008-11-22
153,MADAGASCAR,1,2017-1-11
154,ZAMBIA,1,2017-2-24
143,WALLIS AND FUTUNA (FRENCH TERRITORY),1,1993-3-12
137,BELGIUM,1,1983-11-8
141,BERING SEA,1,1991-2-21
140,DJIBOUTI,1,1989-8-20
111,URUGUAY,1,1888-6-5
138,GUINEA,1,1983-12-22
135,GABON,1,1974-9-23
113,MONTSERRAT,1,1897-4-25
133,LIBYA,1,1963-2-21
96,GRENADA,1,1822-12-1
101,FRENCH POLYNESIA,1,1848-7-12
93,NORWAY,1,1819-8-31
126,CENTRAL AFRICAN REPUBLIC,1,1921-9-16
124,PALAU,1,1914-10-23
118,KIRIBATI,1,1905-6-30
155,COMOROS,1,2018-5-15
